Page,Element_Type,Element_Title,Permission_Required,Location,Parent_Component,Admin,Manager,Operator,Viewer,Notes
Create Task,Input,Task Title,tasks.create,Form Section,Task Info,Yes,Yes,No,No,Task title field
Create Task,Textarea,Task Description,tasks.create,Form Section,Task Info,Yes,Yes,No,No,Task description field
Create Task,Dropdown,Task Category,tasks.create,Form Section,Task Classification,Yes,Yes,No,No,Select task category
Create Task,Dropdown,Priority Level,tasks.create,Form Section,Task Classification,Yes,Yes,No,No,Set task priority
Create Task,Input,Due Date,tasks.create,Form Section,Task Scheduling,Yes,Yes,No,No,Task due date
Create Task,Dropdown,Assigned User,tasks.assign,Form Section,Task Assignment,Yes,Yes,No,No,Assign task to user
Create Task,Upload,Task Attachments,tasks.create,Form Section,File Attachments,Yes,Yes,No,No,Attach files to task
Create Task,Checkbox,Send Notification,tasks.create,Form Section,Notification Options,Yes,Yes,No,No,Notify assigned user
Create Task,Button,Save Draft,tasks.create,Footer,Save Actions,Yes,Yes,No,No,Save task as draft
Create Task,Button,Create Task,tasks.create,Footer,Create Actions,Yes,Yes,No,No,Create and assign task
Create Task,Section,Task Dependencies,tasks.dependencies,Form Section,Dependency Management,Yes,Yes,No,No,Set task dependencies
Task Details,Page,Task Information,tasks.view,Main Content,Task Display,Yes,Yes,Yes,Yes,Individual task details
Task Details,Section,Task Overview,tasks.view,Task Content,Task Info,Yes,Yes,Yes,Yes,Task basic information
Task Details,Section,Task Description,tasks.view,Task Content,Task Details,Yes,Yes,Yes,Yes,Detailed task description
Task Details,Section,Attachments,tasks.view,Task Content,File Display,Yes,Yes,Yes,Yes,Task file attachments
Task Details,Section,Comments,tasks.comments,Task Content,Comment Thread,Yes,Yes,Yes,Yes,Task discussion comments
Task Details,Section,Activity Log,tasks.view,Task Content,Activity History,Yes,Yes,Yes,Yes,Task activity history
Task Details,Button,Edit Task,tasks.edit,Header,Task Actions,Yes,Yes,No,No,Edit task details
Task Details,Button,Complete Task,tasks.complete,Header,Task Actions,Yes,Yes,Yes,Yes,Mark task complete
Task Details,Button,Reassign Task,tasks.assign,Header,Task Actions,Yes,Yes,No,No,Reassign to different user
Task Details,Button,Add Comment,tasks.comments,Comments Section,Comment Actions,Yes,Yes,Yes,Yes,Add task comment
Task Details,Button,Upload File,tasks.attachments,Attachments Section,File Actions,Yes,Yes,Yes,No,Add task attachment
Task Details,Status,Current Status,tasks.view,Task Header,Status Display,Yes,Yes,Yes,Yes,Task current status
Task Details,Status,Progress Indicator,tasks.view,Task Header,Progress Display,Yes,Yes,Yes,Yes,Task completion progress
Task Details,Info,Assigned User,tasks.view,Task Info,Assignment Display,Yes,Yes,Yes,Yes,Currently assigned user
Task Details,Info,Due Date,tasks.view,Task Info,Date Display,Yes,Yes,Yes,Yes,Task due date
Task Details,Info,Priority Level,tasks.view,Task Info,Priority Display,Yes,Yes,Yes,Yes,Task priority level
Task Assignment,Modal,Assign Task,tasks.assign,Modal,Assignment Form,Yes,Yes,No,No,Task assignment interface
Task Assignment,Dropdown,Select User,tasks.assign,Assignment Form,User Selector,Yes,Yes,No,No,Choose user for assignment
Task Assignment,Input,Assignment Notes,tasks.assign,Assignment Form,Notes Field,Yes,Yes,No,No,Assignment instructions
Task Assignment,Checkbox,Send Notification,tasks.assign,Assignment Form,Notification Options,Yes,Yes,No,No,Notify assigned user
Task Assignment,Button,Assign Task,tasks.assign,Assignment Form,Assignment Actions,Yes,Yes,No,No,Confirm task assignment
Task Assignment,Button,Reassign Task,tasks.assign,Assignment Form,Assignment Actions,Yes,Yes,No,No,Change task assignment
My Tasks,Page,Personal Tasks,tasks.view,Main Content,Personal Dashboard,Yes,Yes,Yes,Yes,User's assigned tasks
My Tasks,Tab,Active Tasks,tasks.view,Tab Panel,Task Categories,Yes,Yes,Yes,Yes,Currently active tasks
My Tasks,Tab,Completed Tasks,tasks.view,Tab Panel,Task Categories,Yes,Yes,Yes,Yes,Previously completed tasks
My Tasks,Tab,Overdue Tasks,tasks.view,Tab Panel,Task Categories,Yes,Yes,Yes,Yes,Tasks past due date
My Tasks,Table,Task List,tasks.view,Tab Content,Task Display,Yes,Yes,Yes,Yes,Personal task list
My Tasks,Button,Complete Task,tasks.complete,Table Row,Task Actions,Yes,Yes,Yes,Yes,Mark task as complete
My Tasks,Button,View Details,tasks.view,Table Row,Task Actions,Yes,Yes,Yes,Yes,View task details
My Tasks,Button,Request Help,tasks.help,Table Row,Task Actions,Yes,Yes,Yes,Yes,Request task assistance
My Tasks,Progress,Task Progress,tasks.view,Table Row,Progress Display,Yes,Yes,Yes,Yes,Individual task progress
My Tasks,Filter,Priority Filter,tasks.view,Header,Filter Controls,Yes,Yes,Yes,Yes,Filter by priority
My Tasks,Filter,Category Filter,tasks.view,Header,Filter Controls,Yes,Yes,Yes,Yes,Filter by task category
Task Reports,Page,Task Analytics,tasks.reports,Main Content,Reporting Dashboard,Yes,Yes,No,No,Task reporting interface
Task Reports,Chart,Completion Trends,tasks.reports,Dashboard,Analytics Charts,Yes,Yes,No,No,Task completion trends
Task Reports,Chart,Team Performance,tasks.reports,Dashboard,Performance Charts,Yes,Yes,No,No,Team task performance
Task Reports,Table,Detailed Report,tasks.reports,Main Content,Report Display,Yes,Yes,No,No,Detailed task report
Task Reports,Button,Generate Report,tasks.reports,Header,Report Actions,Yes,Yes,No,No,Create custom report
Task Reports,Button,Export Report,tasks.export,Header,Export Actions,Yes,Yes,No,No,Export report data
Task Reports,Button,Schedule Report,tasks.reports,Header,Schedule Actions,Yes,Yes,No,No,Schedule automated reports
Task Reports,Filter,Date Range,tasks.reports,Header,Report Filters,Yes,Yes,No,No,Filter by date range
Task Reports,Filter,User Filter,tasks.reports,Header,Report Filters,Yes,Yes,No,No,Filter by user
Task Reports,Filter,Category Filter,tasks.reports,Header,Report Filters,Yes,Yes,No,No,Filter by task category
Task Board,Page,Kanban Board,tasks.board,Main Content,Task Board,Yes,Yes,Yes,Yes,Kanban-style task board
Task Board,Column,To Do,tasks.view,Board Content,Status Column,Yes,Yes,Yes,Yes,Tasks to do column
Task Board,Column,In Progress,tasks.view,Board Content,Status Column,Yes,Yes,Yes,Yes,Tasks in progress column
Task Board,Column,Review,tasks.review,Board Content,Status Column,Yes,Yes,Yes,Yes,Tasks under review column
Task Board,Column,Complete,tasks.view,Board Content,Status Column,Yes,Yes,Yes,Yes,Completed tasks column
Task Board,Card,Task Card,tasks.view,Board Column,Task Display,Yes,Yes,Yes,Yes,Individual task cards
Task Board,Button,Add Task,tasks.create,Column Header,Column Actions,Yes,Yes,No,No,Add task to column
Task Board,Drag,Drag Task,tasks.edit,Task Card,Card Interaction,Yes,Yes,No,No,Drag task between columns
Bulk Operations,Modal,Bulk Task Actions,tasks.bulk,Modal,Bulk Operations,Yes,Yes,No,No,Mass task operations
Bulk Operations,Checkbox,Select All,tasks.bulk,Task List,Selection Controls,Yes,Yes,No,No,Select all tasks
Bulk Operations,Dropdown,Bulk Action,tasks.bulk,Action Panel,Action Selector,Yes,Yes,No,No,Choose bulk operation
Bulk Operations,Button,Apply Action,tasks.bulk,Action Panel,Action Buttons,Yes,Yes,No,No,Execute bulk operation
Bulk Operations,Progress,Operation Progress,tasks.bulk,Modal Content,Progress Display,Yes,Yes,No,No,Bulk operation progress
Database Dropdowns,Dropdown,Task Status,tasks.status,Form Elements,Status Selector,Yes,Yes,Yes,Yes,Change task status
Database Dropdowns,Dropdown,Task Priority,tasks.priority,Form Elements,Priority Selector,Yes,Yes,No,No,Set task priority
Database Dropdowns,Dropdown,Task Category,tasks.category,Form Elements,Category Selector,Yes,Yes,No,No,Select task category
Database Dropdowns,Dropdown,Assignee,tasks.assign,Form Elements,User Selector,Yes,Yes,No,No,Assign task to user
Database Dropdowns,Dropdown,Project Assignment,tasks.project,Form Elements,Project Selector,Yes,Yes,No,No,Assign task to project
